GameID,tournamentID,tournamentName,locationName,Country,TournamentPlayers,created_at,userId,armyId,playerId,armyName,opponentId,opponentArmyId,opponentArmy,gameNum,gameResult,gamePoints,tournamentResult
1,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,FC6M2HNVB8,LT7h2egMXA,PW73-PXD5-GXQ8,Pathfinders,9HD85AYUE6,iZGEmAny5r,Novitiates,1,2,20,1
2,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,FC6M2HNVB8,LT7h2egMXA,PW73-PXD5-GXQ8,Pathfinders,yfs23dvEWL,qCkz7A5Npv,Inquisitorial Agents,2,2,19,1
3,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,FC6M2HNVB8,LT7h2egMXA,PW73-PXD5-GXQ8,Pathfinders,16DLYTX7XH,7MZmTkjtvN,Veteran Guardsmen,3,2,20,1
4,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,FC6M2HNVB8,LT7h2egMXA,PW73-PXD5-GXQ8,Pathfinders,uOmDO9mLcX,iZGEmAny5r,Novitiates,4,2,23,1
5,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,FC6M2HNVB8,LT7h2egMXA,PW73-PXD5-GXQ8,Pathfinders,C1N48VV99K,O68BVNHb2J,Legionary,5,2,21,1
6,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VVXY1AVAXH,oIGBgz0rWT,GNQT-HTXC-TTEW,Ork Kommandos,yfs23dvEWL,qCkz7A5Npv,Inquisitorial Agents,1,2,19,2
7,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VVXY1AVAXH,oIGBgz0rWT,GNQT-HTXC-TTEW,Ork Kommandos,E7CHC4GTPH,KW8kBVQRzg,Intercession,2,2,19,2
8,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VVXY1AVAXH,oIGBgz0rWT,GNQT-HTXC-TTEW,Ork Kommandos,5HM4HU74UX,KW8kBVQRzg,Intercession,3,2,22,2
9,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VVXY1AVAXH,oIGBgz0rWT,GNQT-HTXC-TTEW,Ork Kommandos,0qDv3IW6Zp,HiiZAf9oBt,Fellgor Ravagers,4,2,21,2
10,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VVXY1AVAXH,oIGBgz0rWT,GNQT-HTXC-TTEW,Ork Kommandos,L5P78ERAV2,HTyPzmoxpg,Wyrmblade,5,2,20,2
11,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PR741VMF4W,g33HjqCsH4,6F8J-P143-J5L3,Warp Coven,PW982LR700,Unknown Army ID,Unknown Army,1,0,15,3
12,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PR741VMF4W,g33HjqCsH4,6F8J-P143-J5L3,Warp Coven,VDNFHWRH0R,y9bh89ACze,Hearthkyn Salvagers,2,2,20,3
13,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PR741VMF4W,g33HjqCsH4,6F8J-P143-J5L3,Warp Coven,HHJ76PED1X,a05DEJEFHV,Hand of the Archon,3,2,19,3
14,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PR741VMF4W,g33HjqCsH4,6F8J-P143-J5L3,Warp Coven,P5K046KGQH,a05DEJEFHV,Hand of the Archon,4,2,21,3
15,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PR741VMF4W,g33HjqCsH4,6F8J-P143-J5L3,Warp Coven,16DLYTX7XH,7MZmTkjtvN,Veteran Guardsmen,5,2,22,3
16,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,C1N48VV99K,O68BVNHb2J,D2B7-4KB3-H7EF,Legionary,RHN4YWCT94,KW8kBVQRzg,Intercession,1,2,14,4
17,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,C1N48VV99K,O68BVNHb2J,D2B7-4KB3-H7EF,Legionary,DD3DF1EAK3,HTyPzmoxpg,Wyrmblade,2,2,18,4
18,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,C1N48VV99K,O68BVNHb2J,D2B7-4KB3-H7EF,Legionary,0qDv3IW6Zp,HiiZAf9oBt,Fellgor Ravagers,3,2,20,4
19,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,C1N48VV99K,O68BVNHb2J,D2B7-4KB3-H7EF,Legionary,5HM4HU74UX,KW8kBVQRzg,Intercession,4,2,21,4
5,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,C1N48VV99K,O68BVNHb2J,D2B7-4KB3-H7EF,Legionary,FC6M2HNVB8,LT7h2egMXA,Pathfinders,5,0,11,4
20,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,V6B066PK5A,O68BVNHb2J,7VWU-8EAJ-QH3Q,Legionary,E7CHC4GTPH,KW8kBVQRzg,Intercession,1,2,11,5
21,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,V6B066PK5A,O68BVNHb2J,7VWU-8EAJ-QH3Q,Legionary,HHJ76PED1X,a05DEJEFHV,Hand of the Archon,2,0,10,5
22,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,V6B066PK5A,O68BVNHb2J,7VWU-8EAJ-QH3Q,Legionary,KYQ6T8YVDM,oIGBgz0rWT,Kommandos,3,2,15,5
23,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,V6B066PK5A,O68BVNHb2J,7VWU-8EAJ-QH3Q,Legionary,PW982LR700,Unknown Army ID,Unknown Army,4,2,17,5
24,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,V6B066PK5A,O68BVNHb2J,7VWU-8EAJ-QH3Q,Legionary,VDNFHWRH0R,y9bh89ACze,Hearthkyn Salvagers,5,2,15,5
25,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,L5P78ERAV2,HTyPzmoxpg,2YP9-5T8W-HH16,Ork Kommandos,K5AVJTW2HQ,udcWHTxEOX,Gellerpox Infected,1,2,19,6
26,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,L5P78ERAV2,HTyPzmoxpg,2YP9-5T8W-HH16,Ork Kommandos,KYQ6T8YVDM,oIGBgz0rWT,Kommandos,2,2,23,6
27,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,L5P78ERAV2,HTyPzmoxpg,2YP9-5T8W-HH16,Ork Kommandos,uOmDO9mLcX,iZGEmAny5r,Novitiates,3,2,24,6
28,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,L5P78ERAV2,HTyPzmoxpg,2YP9-5T8W-HH16,Ork Kommandos,16DLYTX7XH,7MZmTkjtvN,Veteran Guardsmen,4,0,13,6
10,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,L5P78ERAV2,HTyPzmoxpg,2YP9-5T8W-HH16,Ork Kommandos,VVXY1AVAXH,oIGBgz0rWT,Kommandos,5,0,19,6
29,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,uOmDO9mLcX,iZGEmAny5r,MYTL-G91C-V268,Exaction Squad,P5K046KGQH,a05DEJEFHV,Hand of the Archon,1,2,19,10
